Unnamed: 0,date,close,high,low,volume,qav,Cross
288,2024-02-28 23:04:48.999,61619.65,61619.65,61610.86,0.08992,5540.5944935,
289,2024-02-28 23:04:49.999,61621.5,61621.74,61612.6,0.12405,7643.9620074,
290,2024-02-28 23:04:50.999,61624.61,61629.83,61621.5,0.23134,14256.178267,
291,2024-02-28 23:04:51.999,61631.83,61631.83,61627.32,0.11075,6825.5710765,
292,2024-02-28 23:04:52.999,61631.67,61631.8,61625.54,0.23236,14320.1346781,
293,2024-02-28 23:04:53.999,61627.31,61631.78,61627.23,0.00557,343.2865323,
294,2024-02-28 23:04:54.999,61627.59,61627.59,61627.59,0.00029,17.8720011,
295,2024-02-28 23:04:55.999,61630.76,61631.83,61621.7,0.76694,47262.9937811,
296,2024-02-28 23:04:56.999,61629.15,61632.9,61622.8,0.2201,13565.0811709,
297,2024-02-28 23:04:57.999,61629.36,61632.9,61629.3,0.04977,3067.444309,
298,2024-02-28 23:04:58.999,61632.81,61632.83,61625.84,0.02056,1267.0595046,
299,2024-02-28 23:04:59.999,61632.81,61632.84,61629.26,0.05341,3291.6268362,
300,2024-02-28 23:05:00.999,61635.0,61635.0,61629.42,0.16269,10027.1527155,
301,2024-02-28 23:05:01.999,61635.0,61635.0,61631.0,0.03061,1886.6353505,
302,2024-02-28 23:05:02.999,61634.99,61634.99,61631.0,0.09741,6003.5007231,
303,2024-02-28 23:05:03.999,61635.0,61635.0,61631.04,0.02255,1389.8589648,
304,2024-02-28 23:05:04.999,61636.34,61637.0,61634.99,0.25183,15521.7376738,
305,2024-02-28 23:05:05.999,61636.99,61636.99,61636.34,0.0044,271.201846,
306,2024-02-28 23:05:06.999,61634.29,61636.76,61631.09,0.15842,9763.9933059,
307,2024-02-28 23:05:07.999,61636.64,61636.66,61631.15,0.15122,9320.6834064,
308,2024-02-28 23:05:08.999,61633.78,61638.14,61633.78,0.0445,2742.8422474,
309,2024-02-28 23:05:09.999,61638.97,61642.91,61638.14,0.11573,7133.5181981,
