Execution time of function: 0:34:54.663388
         3831791657 function calls (3407604323 primitive calls) in 1346.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   864041    0.647    0.000    1.519    0.000 base.py:4189(_validate_positional_slice)
  1728080    1.275    0.000    3.150    0.000 base.py:4199(_convert_slice_indexer)
        2    0.000    0.000    0.000    0.000 base.py:4327(reindex)
        2    0.000    0.000    0.000    0.000 base.py:4440(_wrap_reindex_result)
        2    0.000    0.000    0.000    0.000 base.py:4444(_maybe_preserve_names)
   864040    0.317    0.000    1.363    0.000 base.py:448(size)
  5461834    2.061    0.000    2.941    0.000 base.py:458(_engine_type)
  2854197   11.995    0.000   89.815    0.000 base.py:477(__new__)
  1756957    0.770    0.000    1.206    0.000 base.py:510(find)
 25398930    1.980    0.000    1.980    0.000 base.py:5126(_values)
  7394230    5.528    0.000   16.204    0.000 base.py:5152(_get_engine_target)
  5330800    4.534    0.000   10.909    0.000 base.py:5299(__contains__)
 12651796   10.026    0.000   21.406    0.000 base.py:5349(__getitem__)
   115506    0.027    0.000    0.031    0.000 base.py:538(<genexpr>)
  2592121    3.505    0.000   25.226    0.000 base.py:5391(_getitem_slice)
  1728080    1.972    0.000    6.301    0.000 base.py:541(to_numpy)
    28876    0.055    0.000    1.169    0.000 base.py:5421(append)
    28876    0.036    0.000    1.097    0.000 base.py:5457(_concat)
  2985225    1.933    0.000    6.579    0.000 base.py:5518(equals)
    28877    0.035    0.000    0.095    0.000 base.py:5609(identical)
    57754    0.014    0.000    0.034    0.000 base.py:5634(<genexpr>)
  2854195    1.033    0.000    1.033    0.000 base.py:573(_ensure_array)
  2854195    0.920    0.000    1.292    0.000 base.py:591(_dtype_to_subclass)
   966198    0.731    0.000   55.770    0.000 base.py:6076(get_indexer_for)
   966197    0.310    0.000    0.862    0.000 base.py:61(__len__)
        2    0.000    0.000    0.000    0.000 base.py:6100(_get_indexer_strict)
        2    0.000    0.000    0.000    0.000 base.py:6133(_raise_if_missing)
  2898598    0.500    0.000    0.500    0.000 base.py:6238(_index_as_unique)
  1932396    1.398    0.000    5.512    0.000 base.py:6250(_maybe_promote)
  1932396    1.892    0.000   18.142    0.000 base.py:6320(_should_compare)
  1932396    0.866    0.000    6.685    0.000 base.py:6342(_is_comparable_dtype)
 11112466   10.437    0.000   20.178    0.000 base.py:648(_simple_new)
  8156160    0.767    0.000    0.767    0.000 base.py:6611(_maybe_cast_indexer)
  1932396    0.582    0.000   30.069    0.000 base.py:6618(_maybe_cast_listlike_indexer)
  2592123    0.547    0.000    0.873    0.000 base.py:6624(_validate_indexer)
    28876    0.051    0.000    0.941    0.000 base.py:673(_with_infer)
   864040    0.297    0.000    1.660    0.000 base.py:675(empty)
   966196    1.720    0.000    9.580    0.000 base.py:6855(delete)
  5637273    4.779    0.000   13.948    0.000 base.py:69(shape)
   966198    0.158    0.000    0.158    0.000 base.py:691(_constructor)
   966196    2.588    0.000   75.773    0.000 base.py:6953(drop)
 16911819    4.209    0.000    9.169    0.000 base.py:71(<genexpr>)
  2780909    1.635    0.000    5.092    0.000 base.py:73(_validate_set_axis)
   937322    1.007    0.000   35.244    0.000 base.py:7473(ensure_index_from_sequences)
  4886578    1.835    0.000   30.300    0.000 base.py:7513(ensure_index)
        2    0.000    0.000    0.000    0.000 base.py:7572(ensure_has_len)
  4668911    1.641    0.000    4.525    0.000 base.py:7608(maybe_extract_name)
    28876    0.076    0.000    0.126    0.000 base.py:7624(get_unanimous_names)
    57752    0.015    0.000    0.023    0.000 base.py:7639(<genexpr>)
  1932396    1.033    0.000    1.608    0.000 base.py:7643(_unpack_nested_dtype)
  1961270    1.100    0.000    4.293    0.000 base.py:772(_view)
    28876    0.011    0.000    0.079    0.000 base.py:781(_rename)
  2985225    1.009    0.000    1.377    0.000 base.py:790(is_)
 11976511    2.771    0.000    2.771    0.000 base.py:830(_reset_identity)
    28878    0.037    0.000    0.090    0.000 base.py:836(__iter__)
   937322    0.591    0.000    6.752    0.000 base.py:837(_cleanup)
  5461834   12.549    0.000   34.377    0.000 base.py:841(_engine)
 31642675    4.880    0.000    7.306    0.000 base.py:908(__len__)
   864040    0.230    0.000    0.351    0.000 base.py:914(__array__)
  6428041    0.803    0.000    0.803    0.000 base.py:973(dtype)
        1    0.000    0.000    0.000    0.000 base_parser.py:1113(_make_date_converter)
        1    0.000    0.000    0.000    0.000 base_parser.py:114(__init__)
        1    0.000    0.000    0.000    0.000 base_parser.py:1247(_process_date_conversion)
        1    0.000    0.000    0.000    0.000 base_parser.py:1404(_validate_parse_dates_arg)
        3    0.000    0.000    0.000    0.000 base_parser.py:1425(is_index_col)
        1    0.000    0.000    0.000    0.000 base_parser.py:190(_validate_parse_dates_presence)
        1    0.000    0.000    0.000    0.000 base_parser.py:254(_has_complex_date_col)
        1    0.000    0.000    0.000    0.000 base_parser.py:278(_extract_multi_indexer_columns)
        1    0.000    0.000    0.000    0.000 base_parser.py:349(_maybe_make_multi_index_columns)
        1    0.000    0.000    0.000    0.000 base_parser.py:361(_make_index)
        1    0.000    0.000    0.000    0.000 base_parser.py:600(_set_noconvert_dtype_columns)
        1    0.000    0.000    0.000    0.000 base_parser.py:861(_do_date_conversions)
        1    0.000    0.000    0.000    0.000 base_parser.py:883(_check_data_length)
        1    0.000    0.000    0.000    0.000 base_parser.py:976(_validate_usecols_arg)
    28876    0.005    0.000    0.005    0.000 blocks.py:1003(shape)
  7189964    2.213    0.000    2.213    0.000 blocks.py:1007(iget)
   937320    0.293    0.000    0.293    0.000 blocks.py:1016(_slice)
  4715478    4.938    0.000   47.490    0.000 blocks.py:1041(take_nd)
        2    0.000    0.000    0.000    0.000 blocks.py:1127(setitem)
    28876    0.009    0.000    0.009    0.000 blocks.py:182(is_object)
  3749286    1.017    0.000    1.452    0.000 blocks.py:187(is_extension)
  3749284    1.179    0.000    2.632    0.000 blocks.py:192(_can_consolidate)
    28876    0.010    0.000    0.043    0.000 blocks.py:222(external_values)
  1903520    1.019    0.000    2.205    0.000 blocks.py:226(fill_value)
  1008424    0.766    0.000    1.502    0.000 blocks.py:2317(maybe_coerce_values)
        2    0.000    0.000    0.000    0.000 blocks.py:232(_standardize_fill_value)
  6397031    2.635    0.000    4.273    0.000 blocks.py:2346(get_block_type)
    57754    0.058    0.000    0.171    0.000 blocks.py:2375(new_block_2d)
  6339274    5.396    0.000    9.631    0.000 blocks.py:2388(new_block)
   144380    0.017    0.000    0.017    0.000 blocks.py:239(mgr_locs)
  1961273    0.930    0.000    1.574    0.000 blocks.py:2467(extend_blocks)
    28876    0.026    0.000    0.051    0.000 blocks.py:2483(ensure_block_shape)
    28876    0.019    0.000    0.033    0.000 blocks.py:2586(external_values)
  4715478    2.783    0.000    2.783    0.000 blocks.py:265(make_block_same_class)
   937320    1.179    0.000    1.472    0.000 blocks.py:323(getitem_block_columns)
    28876    0.026    0.000    0.035    0.000 blocks.py:533(convert)
  6559064    0.852    0.000    0.852    0.000 blocks.py:583(dtype)
  1932395    1.586    0.000    3.304    0.000 blocks.py:639(copy)
        2    0.000    0.000    0.000    0.000 blocks.py:654(_maybe_copy)
    73280    0.031    0.000    5.620    0.000 bot_class.py:18(Check_to_Sell)
        1    0.000    0.000    0.000    0.000 bot_class.py:2(__init__)
   864040    0.455    0.000  758.139    0.001 bot_class.py:9(Check_to_Buy)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:194(close)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:201(_set_noconvert_columns)
        1    0.001    0.001    0.521    0.521 c_parser_wrapper.py:222(read)
        1    0.002    0.002    0.017    0.017 c_parser_wrapper.py:355(_concatenate_chunks)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:392(ensure_dtype_objs)
        1    0.001    0.001    0.001    0.001 c_parser_wrapper.py:60(__init__)
  1990156    2.367    0.000   12.782    0.000 cast.py:1147(maybe_infer_to_datetimelike)
    57757    0.056    0.000    0.376    0.000 cast.py:119(maybe_convert_platform)
    28876    0.014    0.000    0.022    0.000 cast.py:1400(find_common_type)
        2    0.000    0.000    0.000    0.000 cast.py:1455(construct_2d_arraylike_from_scalar)
   864040    0.645    0.000    1.299    0.000 cast.py:1483(construct_1d_arraylike_from_scalar)
    57758    0.050    0.000    0.081    0.000 cast.py:1544(construct_1d_object_array_from_listlike)
    28878    0.023    0.000    0.097    0.000 cast.py:1684(can_hold_element)
    28881    0.045    0.000    0.070    0.000 cast.py:1724(np_can_hold_element)
        1    0.000    0.000    0.000    0.000 cast.py:1898(np_can_cast_scalar)
        2    0.000    0.000    0.000    0.000 cast.py:524(ensure_dtype_can_hold_na)
  4715480    6.028    0.000    7.208    0.000 cast.py:550(maybe_promote)
        4    0.000    0.000    0.000    0.000 cast.py:605(_maybe_promote_cached)
        4    0.000    0.000    0.000    0.000 cast.py:613(_maybe_promote)
        1    0.000    0.000    0.000    0.000 cast.py:736(_ensure_dtype_type)
        2    0.000    0.000    0.000    0.000 cast.py:774(infer_dtype_from_scalar)
    28881    0.009    0.000    0.012    0.000 cast.py:921(_maybe_infer_dtype_type)
  5461834    1.566    0.000    2.428    0.000 common.py:1025(needs_i8_conversion)
  1932396    1.848    0.000    5.819    0.000 common.py:1066(is_numeric_dtype)
  1932396    0.313    0.000    0.468    0.000 common.py:1107(<lambda>)
        1    0.000    0.000    0.000    0.000 common.py:1107(_maybe_memory_map)
  1728080    1.680    0.000    5.245    0.000 common.py:1148(is_float_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1155(_is_binary_mode)
        1    0.000    0.000    0.000    0.000 common.py:1176(_get_binary_io_classes)
